Date,Community,Year,Month,Day,Hour,Minute,Age,Sex,Race,Latitude,Longitude,Location,ZIP_CODE
2010-04-01 23:15:00,West Englewood,2010,4,1,23,15,30-39,M,BLK,41.77715165414193,-87.66691534612035,POINT (-87.66691534612 41.777151654142),60636.0
2010-04-02 15:31:00,West Englewood,2010,4,2,15,31,20-29,M,BLK,41.76731834585807,-87.66601465387966,POINT (-87.66601465388 41.767318345858),60636.0
2010-04-03 07:50:00,North Lawndale,2010,4,3,7,50,20-29,M,BLK,41.86318834585807,-87.71112465387966,POINT (-87.71112465388 41.863188345858),60623.0
2010-04-05 23:30:00,Austin,2010,4,5,23,30,50-59,M,BLK,41.89234834585807,-87.74491465387966,POINT (-87.74491465388 41.892348345858),60644.0
2010-04-06 23:44:00,North Lawndale,2010,4,6,23,44,30-39,M,BLK,41.85830309585807,-87.72201094130077,POINT (-87.722010941301 41.858303095858),60623.0
2010-04-12 18:30:00,Humboldt Park,2010,4,12,18,30,0-19,M,BLK,41.89823690414193,-87.72240094130076,POINT (-87.722400941301 41.898236904142),60651.0
2010-04-15 00:30:00,West Englewood,2010,4,15,0,30,20-29,M,BLK,41.77743690414193,-87.67618094130077,POINT (-87.676180941301 41.777436904142),60636.0
2010-04-16 01:48:00,Austin,2010,4,16,1,48,30-39,M,WHI,41.90643966894668,-87.74749854747083,POINT (-87.747498547471 41.906439668947),60651.0
2010-04-18 21:52:00,North Lawndale,2010,4,18,21,52,20-29,M,BLK,41.85802165414193,-87.72587465387966,POINT (-87.72587465388 41.858021654142),60623.0
2010-04-18 21:52:00,North Lawndale,2010,4,18,21,52,20-29,M,BLK,41.85802165414193,-87.72587465387966,POINT (-87.72587465388 41.858021654142),60623.0
2010-04-24 14:13:00,Humboldt Park,2010,4,24,14,13,20-29,M,BLK,41.89242309585807,-87.71945094130076,POINT (-87.719450941301 41.892423095858),60624.0
2010-04-27 00:21:00,Austin,2010,4,27,0,21,30-39,M,BLK,41.91104309585807,-87.77073905869923,POINT (-87.770739058699 41.911043095858),60639.0
2010-05-06 21:07:00,Englewood,2010,5,6,21,7,20-29,M,BLK,41.76649966894669,-87.63565854747083,POINT (-87.635658547471 41.766499668947),60621.0
2010-05-10 22:20:00,Englewood,2010,5,10,22,20,20-29,M,BLK,41.78546690414193,-87.64386905869924,POINT (-87.643869058699 41.785466904142),60621.0
2010-05-20 18:50:00,Englewood,2010,5,20,18,50,30-39,M,BLK,41.78538690414193,-87.64900905869924,POINT (-87.649009058699 41.785386904142),60621.0
2010-05-25 13:08:00,South Shore,2010,5,25,13,8,30-39,M,BLK,41.75826966894668,-87.55603854747082,POINT (-87.556038547471 41.758269668947),60649.0
2010-05-25 13:08:00,South Shore,2010,5,25,13,8,20-29,M,BLK,41.75826966894668,-87.55603854747082,POINT (-87.556038547471 41.758269668947),60649.0
2010-05-25 13:08:00,South Shore,2010,5,25,13,8,20-29,M,BLK,41.75826966894668,-87.55603854747082,POINT (-87.556038547471 41.758269668947),60649.0
2010-05-26 05:20:00,Humboldt Park,2010,5,26,5,20,20-29,M,BLK,41.89282834585807,-87.70710465387965,POINT (-87.70710465388 41.892828345858),60624.0
2010-05-27 21:30:00,Humboldt Park,2010,5,27,21,30,30-39,M,WWH,41.90220690414193,-87.70845094130077,POINT (-87.708450941301 41.902206904142),60651.0
2010-05-30 00:30:00,West Englewood,2010,5,30,0,30,20-29,M,BLK,41.78239165414193,-87.66006465387966,POINT (-87.66006465388 41.782391654142),60636.0
2010-06-02 21:30:00,Humboldt Park,2010,6,2,21,30,0-19,M,BLK,41.90120966894668,-87.73249854747083,POINT (-87.732498547471 41.901209668947),60651.0
2010-06-04 17:16:00,South Shore,2010,6,4,17,16,0-19,M,BLK,41.7721605,-87.58889,POINT (-87.58889 41.7721605),60637.0
2010-06-05 19:13:00,Englewood,2010,6,5,19,13,50-59,M,BLK,41.76374690414193,-87.65246094130077,POINT (-87.652460941301 41.763746904142),60621.0
2010-06-06 00:45:00,Englewood,2010,6,6,0,45,30-39,M,BLK,41.79084165414193,-87.65051534612034,POINT (-87.65051534612 41.790841654142),60621.0
2010-06-08 18:28:00,Humboldt Park,2010,6,8,18,28,20-29,M,BLK,41.89184834585807,-87.71858534612034,POINT (-87.71858534612 41.891848345858),60624.0
2010-06-08 18:28:00,Humboldt Park,2010,6,8,18,28,20-29,M,BLK,41.89184834585807,-87.71858534612034,POINT (-87.71858534612 41.891848345858),60624.0
2010-06-13 23:06:00,Humboldt Park,2010,6,13,23,6,30-39,M,BLK,41.89265966894669,-87.71104854747082,POINT (-87.711048547471 41.892659668947),60624.0
2010-06-15 19:15:00,Humboldt Park,2010,6,15,19,15,20-29,M,WWH,41.90252049999999,-87.71849,POINT (-87.71849 41.9025205),60651.0
2010-06-16 23:51:00,West Englewood,2010,6,16,23,51,0-19,M,BLK,41.77841309585807,-87.67764905869923,POINT (-87.677649058699 41.778413095858),60636.0
2010-06-19 03:01:00,North Lawndale,2010,6,19,3,1,20-29,M,BLK,41.8497305,-87.72239,POINT (-87.72239 41.8497305),60623.0
2010-06-19 03:01:00,North Lawndale,2010,6,19,3,1,40-49,M,BLK,41.8497305,-87.72239,POINT (-87.72239 41.8497305),60623.0
2010-06-19 03:01:00,North Lawndale,2010,6,19,3,1,20-29,M,BLK,41.8497305,-87.72239,POINT (-87.72239 41.8497305),60623.0
2010-06-21 02:02:00,West Englewood,2010,6,21,2,2,40-49,M,BLK,41.76189690414194,-87.66484094130077,POINT (-87.664840941301 41.761896904142),60636.0
